station_id,station_name,department_id,altitude,latitude,longitude,city
12216001,ST-COME-D'OLT,12,380,44.514667,2.827833,SAINT-COME-D'OLT
12224001,ST-GENIEZ-D'OLT,12,420,44.463667,2.967667,SAINT GENIEZ D'OLT ET D'AUBRAC
12253001,SALLES CURAN,12,959,44.151833,2.866167,SALLES-CURAN
12254001,RODEZ-AVEYRON,12,578,44.410333,2.4825,SALLES-LA-SOURCE
12266002,SEGUR,12,879,44.2895,2.820333,SEGUR
12298001,VILLECOMTAL,12,318,44.530667,2.572,VILLECOMTAL
12300004,VILLEFRANCHE-DE-ROUERGUE,12,330,44.371833,2.023667,VILLEFRANCHE-DE-ROUERGUE
13001009,AIX EN PROVENCE,13,173,43.5295,5.4245,AIX-EN-PROVENCE
13004003,ARLES,13,1,43.51,4.693833,ARLES
13005003,AUBAGNE,13,130,43.307333,5.601167,AUBAGNE
13022003,CASSIS,13,212,43.222167,5.503167,MARSEILLE 9E ARRONDISSEMENT
13028001,BEC DE L AIGLE,13,316,43.174667,5.574167,LA CIOTAT
13030001,CUGES-LES-PINS,13,184,43.274,5.700167,CUGES-LES-PINS
13031002,LA DESTROUSSE_SAPC,13,201,43.386667,5.601,LA DESTROUSSE
13036003,EYRAGUES,13,17,43.847167,4.834833,EYRAGUES
13047001,ISTRES,13,23,43.522667,4.9275,ISTRES
13054001,MARIGNANE,13,9,43.437667,5.216,MARIGNANE
13055001,MARSEILLE-OBS,13,75,43.3035,5.39,MARSEILLE 1ER ARRONDISSEMENT
13055029,MARSEILLE,13,192,43.310667,5.479167,MARSEILLE 11E ARRONDISSEMENT
13056002,CAP COURONNE,13,27,43.331667,5.053333,MARTIGUES
13062002,MIMET,13,416,43.4185,5.499667,MIMET
13074003,PEYROLLES EN PROVENCE,13,217,43.656667,5.607,PEYROLLES-EN-PROVENCE
13091002,ST CANNAT,13,249,43.6045,5.317667,SAINT-CANNAT
13092001,ST CHAMAS,13,10,43.5495,5.0395,SAINT-CHAMAS
13103001,SALON DE PROVENCE,13,58,43.612833,5.108,SALON-DE-PROVENCE
13108004,TARASCON,13,15,43.829833,4.640167,TARASCON
13110003,TRETS,13,264,43.445333,5.698667,TRETS
13111002,VAUVENARGUES,13,565,43.551,5.68,VAUVENARGUES
14020002,ARGENCES,14,53,49.140333,-0.155,ARGENCES
14047002,BAYEUX,14,60,49.274833,-0.712333,BAYEUX
14066001,BERNIERES,14,2,49.334,-0.430667,BERNIERES-SUR-MER
14096001,BREMOY,14,240,48.991167,-0.780833,BREMOY
14137001,CAEN-CARPIQUET,14,67,49.18,-0.456167,CARPIQUET
14216001,DAMBLAINVILLE,14,155,48.928,-0.148667,DAMBLAINVILLE
14229001,DOZULE,14,29,49.231667,-0.0475,DOZULE
14239001,ENGLESQUEVILLE,14,38,49.3875,-0.956667,ENGLESQUEVILLE-LA-PERCEE
14291002,FRESNEY LE VIEU,14,175,49.011667,-0.379333,FRESNEY-LE-VIEUX
14296001,LEGAST_SAPC,14,336,48.794667,-1.037167,NOUES DE SIENNE
14357002,LASSY_SAPC,14,223,48.9265,-0.6925,TERRES DE DRUANCE
14366002,LISIEUX_SAPC,14,62,49.165,0.227,LISIEUX
14372001,LIVRY,14,184,49.1015,-0.765167,CAUMONT-SUR-AURE
